,OBJECTID,FLIGHT,STRIP,PHOTO_ID,QUALITY,TWD97_E,TWD97_N,TWD97_H,TWD67_E,TWD67_N,TWD67_H,LN,DATE_,TIME_,SEC,MAP_ID,SC,RI,MP,DP,SW,CLOUD,SECRET,OMEGA,PHI,KAPPA,STD_X,STD_Y,STD_H,STD_OMEGA,STD_PHI,STD_KAPPA,filename
86,87,210102e,34,0087,b,234212.752,2639617.873,3962.475,233384.398,2639823.756,3939.78,34,20210102,1032,4.711,95201054,4,1,y,36,DMC,-9,0,0.64374,1.998174,91.383549,0.013642,0.022416,0.015668,0.00404,0.004212,0.009918,210102e_34~0087.tif
87,88,210102e,34,0088,b,234233.896,2640310.039,3963.35,233405.521,2640515.864,3940.703,34,20210102,1032,12.808,--------,4,1,y,36,DMC,-9,0,0.858389,2.525198,89.331233,0.013627,0.022413,0.015595,0.00404,0.004214,0.009919,210102e_34~0088.tif
88,89,210102e,34,0089,b,234274.282,2641002.133,3962.603,233445.884,2641207.904,3939.995,34,20210102,1032,20.908,--------,4,1,y,36,DMC,-9,0,0.850652,1.001045,88.294323,0.013588,0.022358,0.01542,0.004049,0.004226,0.00992,210102e_34~0089.tif
105,106,210102e,34,0106,a,234289.601,2652767.956,3962.837,233460.972,2652973.584,3940.917,34,20210102,1034,38.912,--------,4,1,y,36,DMC,-9,0,1.013656,-2.119275,91.36644,0.013703,0.022224,0.015689,0.004018,0.004202,0.00977,210102e_34~0106.tif
121,122,210102e,34,0122,a,234226.497,2663842.755,3959.081,233397.777,2664048.593,3937.513,34,20210102,1036,49.054,--------,4,1,y,36,DMC,-9,0,0.86309,1.87891,92.2752,0.013657,0.022311,0.015745,0.003909,0.004106,0.009534,210102e_34~0122.tif
128,129,210102e,34,0129,a,234281.184,2668688.867,3957.823,233452.45,2668894.716,3936.401,34,20210102,1037,46.255,--------,4,1,y,36,DMC,-9,0,0.820808,0.692385,90.519783,0.01342,0.022363,0.014595,0.003809,0.004013,0.009439,210102e_34~0129.tif
189,190,210102e,33,0190,b,231727.547,2639616.633,3961.838,230899.148,2639822.481,3939.436,33,20210102,1051,39.139,95201053,4,1,y,18,DMC,-9,0,-1.008874,-0.384577,-90.972915,0.01402,0.022467,0.016523,0.003661,0.003796,0.009527,210102e_33~0190.tif
190,191,210102e,33,0191,b,231732.709,2638925.115,3962.698,230904.319,2639131.015,3940.244,33,20210102,1051,46.059,--------,4,1,y,18,DMC,-9,0,-1.004283,-0.736174,-91.344451,0.013716,0.022382,0.015963,0.003646,0.003782,0.00952,210102e_33~0191.tif
200,201,210102e,33,0201,a,231703.576,2632003.333,3963.659,230875.225,2632209.479,3940.785,33,20210102,1052,55.345,--------,4,1,y,18,DMC,-9,0,-0.992317,-0.028219,-92.000042,0.01357,0.022271,0.015738,0.003601,0.003735,0.009434,210102e_33~0201.tif
209,210,210102e,33,0210,a,231691.626,2625773.326,3966.568,230863.509,2625979.572,3943.035,33,20210102,1053,57.83,95202003,4,1,y,18,DMC,-9,0,-0.971441,0.723171,-91.073001,0.013474,0.022246,0.015611,0.003509,0.003639,0.009243,210102e_33~0210.tif
