,圖號,圖名,卷片號或數位照片檔名,CloudRate,SecureType,拍攝日期,MinX,MinY,MaxX,MaxY,現有檔名,Roll,camera,Unnamed: 13,Unnamed: 14,Unnamed: 15
80,92202070,赤馬,090213_0307_rgbnc,0,一般圖,20090213,299298.579,2607855.446,301859.84,2610632.878,92202070_090213_0307_rgbnc.tif,090213_,ADS40,,,
229,93203024,金嶼,090213_0349_rgbnc,30,一般圖,20090213,309459.164,2618967.993,312020.496,2621747.308,93203024_090213_0349_rgbnc.tif,090213_,ADS40,,,
368,93203052,海乾巖(北)    ,210129k_08~0255_hr4,20,一般圖,20210129,304401.461,2610642.158,306942.111,2613420.513,93203052_210129k_08~0255_hr4.tif,210129k,DMC,,,
371,93203053,大倉,120323k_07~0271_hr4,0,一般圖,20120323,306942.111,2610651.884,309504.371,2613430.693,93203053_120323k_07~0271_hr4.tif,120323k,DMC,,,
438,93203065,鼎灣,140728k_05~0036_hr4c,90,一般圖,20140728,312055.837,2607904.036,314619.553,2610683.736,93203065_140728k_05~0036_hr4c.tif,140728k,DMC,,,
473,93203072,蛇頭山,210129k_08~0263_hr4,20,一般圖,20210129,304411.768,2605104.943,306974.482,2607883.264,93203072_210129k_08~0263_hr4.tif,210129k,DMC,,,
550,93203085,烏崁,180312k_05~0198_hr4c,0,一般圖,20180312,312079.34,2602366.789,314643.997,2605146.453,93203085_180312k_05~0198_hr4c.tif,180312k,DMC,,,
615,93204085,磽仔礁,210129k_05~0136_hr4,10,一般圖,20210129,311961.357,2630053.377,314521.285,2632833.219,93204085_210129k_05~0136_hr4.tif,210129k,DMC,,,
620,93204094,過嶼,180312k_06~0145_hr4,10,一般圖,20180312,309425.14,2627274.01,311985.048,2630053.377,93204094_180312k_06~0145_hr4.tif,180312k,DMC,,,
637,94171005,港埔,120922a_15~0191_hr4,0,一般圖,20120922,183939.292,2486096.367,186523.445,2488875.441,94171005_120922a_15~0191_hr4.tif,120922a,DMC,,,
785,94171019,船頭,140514a_19~0442_hr4,20,一般圖,20140514,194220.247,2483289.224,196802.971,2486066.529,94171019_140514a_19~0442_hr4.tif,140514a,DMC,,,
906,94171040,放索,150919b_20~0163_hr4,0,一般圖,20150919,196774.374,2477744.18,199357.532,2480521.016,94171040_150919b_20~0163_hr4.tif,150919b,DMC,,,
1002,94181002,媽祖廟,150924a_12~0322_hr4c,90,一般圖,20150924,176488.615,2541497.466,179065.118,2544278.238,94181002_150924a_12~0322_hr4c.tif,150924a,DMC,,,
1065,94181005,嶺頂,150416a_15~0439_hr4,0,一般圖,20150416,184178.925,2541463.18,186753.985,2544242.612,94181005_150416a_15~0439_hr4.tif,150416a,DMC,,,
1085,94181006,土崎腳,191130_0603_mtbn,90,一般圖,20191130,186742.344,2541452.625,189316.923,2544231.611,94181006_191130_0603_mtbn.tif,191130_,ADS40,,,
1146,94181010,溝坪,160626d_20~0223_hr4c,20,一般圖,20160626,196995.937,2541414.77,199568.599,2544191.976,94181010_160626d_20~0223_hr4c.tif,160626d,DMC,,,
1235,94181014,大潭埤,160918a_14~0464_hr4,0,一般圖,20160918,181602.926,2538705.741,184178.925,2541485.601,94181014_160918a_14~0464_hr4.tif,160918a,DMC,,,
1391,94181023,杞舍,120413a_13~0097_hr4,0,一般圖,20120413,179025.988,2535948.727,181602.926,2538729.015,94181023_120413a_13~0097_hr4.tif,120413a,DMC,,,
1412,94181024,深坑村,090910_0229_rgbn,10,一般圖,20090910,181445.0,2535795.0,184310.0,2538860.0,94181024_090910_0229_rgbn.tif,090910_,ADS40,,,
1431,94181025,樹林子,090331a_15~0299_rgb,0,一般圖,20090331,184010.0,2535785.0,186875.0,2538850.0,94181025_090331a_15~0299_rgb.tif,090331a,DMC,,,
1457,94181026,大坪,180606_0256_mtbn,40,一般圖,20180606,186719.097,2535915.807,189294.596,2538694.758,94181026_180606_0256_mtbn.tif,180606_,ADS40,,,
1468,94181027,苦苓湖,150416a_17~0282_hr4,0,一般圖,20150416,189283.449,2535905.706,191858.469,2538684.212,94181027_150416a_17~0282_hr4.tif,150416a,DMC,,,
1499,94181029,內門,121014a_19~0110_hr4,10,一般圖,20121014,194412.13,2535886.81,196986.193,2538664.428,94181029_121014a_19~0110_hr4.tif,121014a,DMC,,,
1537,94181031,大潭,150924a_11~0223_hr4,10,一般圖,20150924,173883.245,2533204.409,176461.6,2535985.571,94181031_150924a_11~0223_hr4.tif,150924a,DMC,,,
1626,94181035,草埔坪,170430_0429_mtbn,90,一般圖,20170430,184142.661,2533157.94,186719.097,2535937.318,94181035_170430_0429_mtbn.tif,170430_,ADS40,,,
1657,94181037,柿子園,170923_0237_mtbn,40,一般圖,20170923,189272.315,2533137.319,191847.794,2535915.807,94181037_170923_0237_mtbn.tif,170923_,ADS40,,,
1673,94181038,觀音亭,170923_0254_mtbn,40,一般圖,20170923,191837.129,2533127.661,194412.13,2535905.706,94181038_170923_0254_mtbn.tif,170923_,ADS40,,,
1690,94181039,回陸,150923a_19~0036_hr4,10,一般圖,20150923,194401.936,2533118.439,196976.459,2535896.04,94181039_150923a_19~0036_hr4.tif,150923a,DMC,,,
1786,94181044,岡山頭,150924a_14~0330_hr4,90,一般圖,20150924,181565.288,2530400.498,184142.661,2533180.303,94181044_150924a_14~0330_hr4.tif,150924a,DMC,,,
1898,94181051,路竹,130908a_11~0082_hr4,40,一般圖,20130908,173855.374,2527667.546,176434.641,2530448.669,94181051_130908a_11~0082_hr4.tif,130908a,DMC,,,
1939,94181053,九鬮,160423a_13~0795_hr4c,40,一般圖,20160423,178986.98,2527643.481,181565.288,2530423.713,94181053_160423a_13~0795_hr4c.tif,160423a,DMC,,,
1984,94181056,外安,080907a_16~0186_rgb,0,一般圖,20080907,186545.0,2527470.0,189410.0,2530535.0,94181056_080907a_16~0186_rgb.tif,080907a,DMC,,,
2037,94181059,鯤洲里,120902a_19~0163_hr4,10,一般圖,20120902,194381.579,2527581.722,196957.021,2530359.291,94181059_120902a_19~0163_hr4.tif,120902a,DMC,,,
2052,94181060,廣福,090907_0207_rgbn,10,一般圖,20090907,196805.0,2527430.0,199670.0,2530495.0,94181060_090907_0207_rgbn.tif,090907_,ADS40,,,
2107,94181063,前峰子農場,140514a_13~0257_hr4c,30,一般圖,20140514,178974.004,2524875.083,181552.768,2527655.296,94181063_140514a_13~0257_hr4c.tif,140514a,DMC,,,
2150,94181065,新興,150923a_15~0277_hr4,20,一般圖,20150923,184106.509,2524852.777,186684.318,2527632.101,94181065_150923a_15~0277_hr4.tif,150923a,DMC,,,
